"movieTitle" "movieUrl" "rating"
"187" "天才無限家" "Man Who Knew Infinity" 0
"188" "愛,囚禁" "Alaska" 5.7
"189" "真愛有夠殺" "Mr Right" 0
"190" "羊男的冰島冒險" "Rams" 7.4
"191" "瘋狂假面2" "H K Forbidden Super Hero The Abnormal Crisis" 0
"192" "北京遇上西雅圖之不二情書" "Book Of Love" 0
"193" "麥田書香" "Ever Beentothe Moon" 0
"194" "愛人怪物" "Closet Monster" 7.3
"195" "西西里的漫長等待" "Wait" 0
"196" "帝國毀滅: 關鍵13分鐘" "13 Minutes" 7
"197" "魔物戀人" "Spring" 6.7
"198" "特務超級爸" "Spy Time" 6.1
"199" "忍者龜2: " "Teenage Mutant Ninja Turtles2" 0
"200" "破影而出" "Teenage Mutant Ninja Turtles2" 0
"201" "厲陰宅2" "Conjurin2" 0
"202" "假會徵信社" "Nice Guys" NA
"203" "ID4星際終結者2" "Independence Day2" 0
"204" "俺物語!!" "My Love Story" 0
"205" "魔獸:崛起" "Warcraft" 0
"206" "我就要你好好的" "Me Before You" 7.5
"207" "下女的誘惑" "Handmaiden" 0
"208" "信長協奏曲" "Nobunaga Concerto" 8.5
"209" "出神入化2" "Now You See Me2" 0
"210" "梭哈人生" "A Hologramforthe King" 0
"211" "萌學園:尋找磐古" "M Riders Finding Pangu" 0
"212" "夢碎天堂" "Paradise Suite" 0
"213" "憤怒鳥玩電影" "Angry Birds" 7.2
"214" "搖滾青春戀習曲" "Sing Street" 8
"215" "傷物語: <U+9244>血篇" "Kizumonogatari I Tekketsu-hen" 0
"216" "深海逃脫" "Pressure" 5.7
"217" "師父" "Master" 0
"218" "運河怪談" "Canal" 0
"219" "世界之庭" "Dareto Be Wild" 0
"220" "遠方禁戀" "Desdealla" 0
"221" "殺人一舉" "Actof Killing" 0
"222" "春色蕩漾" "Swung" 4.4
"223" "沉默一瞬" "Lookof Silence" 0
"224" "水手服與機關槍" "Sailor Suitand Machine Gun Graduation" 0
"225" "漢娜鄂蘭" "Vita Activa" 0
"226" "─思想的行動" "Vita Activa" 0
"227" "泰山傳奇" "Legendof Tarzan" 0
"228" "寒戰2" "Cold War2" 0
"229" "魔鬼剋星" "Ghostbusters" 7.8
"230" "星際爭霸戰3" "Star Trek3" 0
"231" "神鬼認證5" "Bourne5" 0
"232" "寵物當家" "Secret Lifeof Pets" 0
"233" "海底總動員2" "Finding Dory" 7.6
"234" "中央情爆員" "Central Intelligence" 6.4
"235" "冰原歷險記5" "Ice Age5" 0
"236" "極樂宿舍" "Happy Dorm" NA
"237" "鬼撕眠" "Before I Wake" 6.1
