,movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
236,恐怖鄰人,Creepy,6.4,9,3,6
237,暗殺教室2,Assassination Classroom 2,0,0,0,0
238,異次元凶間,The Diabolical,4.7,1,0,0
239,名偵探柯南20,Detective Conan: The Darkest Nightmare,7.3,0,0,0
240,女人沉睡時,While the Women Are Sleeping,6,2,0,2
241,六弄咖啡館,At Cafe 6,0,126,39,30
242,蝙蝠俠: 致命玩笑,Batman: The Killing Joke,6.6,1,1,0
243,最酷的一天,The Most Beautiful Day,6.9,7,4,0
244,大同,The Chinese Mayor,7.4,15,5,0
245,愛情未來,Things to Come,6.7,7,2,0
246,夏日情事,This Summer Feeling,6.9,1,1,0
247,歡迎來到美國,UMRIKA,0,5,1,0
248,家有洛洛,Lolo,5.7,4,2,0
249,變裝皇后萬萬歲,Viva,0,6,4,0
250,狂虐性告白,Wild In Blue,0,1,0,0
251,沉默茱麗葉,Julieta,7.1,1,0,0
252,不只是閨蜜,Me,NA,5,0,0
253,山河故人,Mountains May Depart,6.8,6,4,0
254,自殺突擊隊,Suicide Squad,6.5,386,58,112
255,吹夢巨人,The BFG,6.5,9,1,2
256,賓漢,Ben-Hur,8.1,27,10,4
257,極速秒殺2,Mechanic: Resurrection,5.6,19,3,10
258,妮嘉,Neerja,7.9,18,15,0
259,樓下的房客,The Tenants Downstairs,NA,243,79,78
260,絕鯊島,The Shallows,6.4,29,13,2
261,危城,Call Of Heroes,0,27,6,2
262,我的哈比情人,Up for Love,6.3,2,1,0
263,正宗哥吉拉,Godzilla Resurgence,0,92,48,4
264,酷寶: 魔弦傳說,Kubo and the Two Strings,8,0,0,0
265,火線掏寶,War Dogs,7.2,17,6,0
266,命懸生死線,Life on the Line,5.2,3,1,0
267,科技浩劫,Cell,4.3,8,1,2
268,大顯神威,The Big Power,0,9,0,2
269,咖啡愛情,Cafe Society,6.7,12,6,2
270,貞子<U+202C> VS <U+202A>伽椰子,Sadako vs Kayako,0,0,0,0
271,封神傳奇,League of Gods,4.5,8,0,6
272,航海王電影Gold,One Piece Film Gold,8.1,0,0,0
273,霓虹惡魔,The Neon Demon,6.3,10,2,4
