"movieTitle" "good1" "good2" "good3" "good4" "bad1" "bad2"
"220" "泰山傳奇" 3 0 0 0 1 0
"221" "寒戰2" 24 0 0 0 9 0
"222" "魔鬼剋星" 32 0 0 0 3 0
"223" "星際爭霸戰3" 2 0 0 0 0 0
"224" "神鬼認證5" 6 0 0 0 1 0
"225" "寵物當家" 4 0 0 0 3 0
"226" "海底總動員2" 24 0 0 0 2 0
"227" "中央情爆員" 2 0 0 0 1 0
"228" "冰原歷險記5" 0 0 0 0 0 0
"229" "極樂宿舍" 5 0 0 0 12 0
"230" "鬼撕眠" 1 0 0 0 2 0
"231" "國定殺戮日3" 3 0 0 0 1 0
"232" "舞力重擊" 1 0 0 0 0 0
"233" "鬼關燈" 14 0 0 0 1 0
"234" "阿姐萬萬醉" 3 0 0 0 0 0
"235" "哆啦A夢2016" 0 0 0 0 0 0
"236" "恐怖鄰人" 3 0 0 0 3 0
"237" "暗殺教室2" 0 0 0 0 0 0
"238" "異次元凶間" 0 0 0 0 0 0
"239" "名偵探柯南20" 0 0 0 0 0 0
"240" "女人沉睡時" 0 0 0 0 1 0
"241" "六弄咖啡館" 39 0 0 0 15 0
"242" "蝙蝠俠: 致命玩笑" 1 0 0 0 0 0
"243" "最酷的一天" 4 0 0 0 0 0
"244" "大同" 5 0 0 0 0 0
"245" "愛情未來" 2 0 0 0 0 0
"246" "夏日情事" 1 0 0 0 0 0
"247" "歡迎來到美國" 1 0 0 0 0 0
"248" "家有洛洛" 2 0 0 0 0 0
"249" "變裝皇后萬萬歲" 4 0 0 0 0 0
"250" "狂虐性告白" 0 0 0 0 0 0
"251" "沉默茱麗葉" 0 0 0 0 0 0
"252" "不只是閨蜜" 0 0 0 0 0 0
"253" "山河故人" 4 0 0 0 0 0
"254" "自殺突擊隊" 56 1 0 0 56 0
"255" "吹夢巨人" 1 0 0 0 1 0
"256" "賓漢" 10 0 0 0 2 0
"257" "極速秒殺2" 3 0 0 0 5 0
"258" "妮嘉" 15 0 0 0 0 0
"259" "樓下的房客" 75 2 0 0 39 0
"260" "絕鯊島" 13 0 0 0 1 0
"261" "危城" 6 0 0 0 1 0
"262" "我的哈比情人" 1 0 0 0 0 0
"263" "正宗哥吉拉" 48 0 0 0 2 0
"264" "酷寶: 魔弦傳說" 0 0 0 0 0 0
"265" "火線掏寶" 6 0 0 0 0 0
"266" "命懸生死線" 1 0 0 0 0 0
"267" "科技浩劫" 1 0 0 0 1 0
"268" "大顯神威" 0 0 0 0 1 0
"269" "咖啡愛情" 6 0 0 0 1 0
"270" "貞子<U+202C> VS <U+202A>伽椰子" 0 0 0 0 0 0
"271" "封神傳奇" 0 0 0 0 3 0
"272" "航海王電影Gold" 0 0 0 0 0 0
"273" "霓虹惡魔" 2 0 0 0 2 0
"274" "蠟筆小新: 爆睡!" 0 0 0 0 0 0
"275" "丹麥共居生活" 0 0 0 0 0 0
"276" "醉後之旅" 0 0 0 0 0 0
"277" "進擊的摔角男孩" 0 0 0 0 1 0
"278" "電影版櫻桃小丸子" 1 0 0 0 1 0
"279" "哭聲" 24 0 0 0 6 0
"280" "大審判家" 2 0 0 0 0 0
"281" "暴亂夜" 0 0 0 0 0 0
"282" "從好久以前就喜歡你" 0 0 0 0 1 0
"283" "零日網路戰" 1 0 0 0 0 0
"284" "聽見愛你的聲音" 0 0 0 0 0 0
"285" "地獄哪有那麼HIGH" 4 0 0 0 0 0
"286" "十年" 16 0 0 0 1 0
"287" "我出去一下" 5 0 0 0 0 0
"288" "如果這世界貓消失了" 19 0 0 0 3 0
"289" "瘋狂邁爾士" 1 0 0 0 0 0
"290" "推銷員之戀" 2 0 0 0 0 0
"291" "變蟲人" 0 0 0 0 1 0
"292" "攻佔羅浮宮" 0 0 0 0 0 0
"293" "愛情天文學" 3 0 0 0 2 0
"294" "賞金獵人" 0 0 0 0 0 0
"295" "我的老爸喵星人" 4 0 0 0 1 0
"296" "婚禮玩很大" 0 0 0 0 0 0
"297" "BJ有喜" 14 0 0 0 0 0
"298" "神鬼駭客:史諾登" 0 0 0 0 0 0
"299" "怪奇孤兒院" 25 0 0 0 7 0
"300" "蘇珊夫人尋婚計" 3 0 0 0 0 0
"301" "玩命直播" 9 0 0 0 0 0
"302" "終極飆靶" 1 0 0 0 0 0
"303" "赴湯蹈火" 10 0 0 0 0 0
"304" "暫時停止呼吸" 22 0 0 0 6 0
"305" "屍速列車" 210 0 0 0 72 0
"306" "薩利機長" 41 0 0 0 2 0
"307" "使徒行者" 12 0 0 0 0 0
"308" "終極舞班" 0 0 0 0 1 0
"309" "特厲鬼屋" 0 0 0 0 5 0
"310" "魔詭" 0 0 0 0 2 0
"311" "鬼打牆" 2 0 0 0 0 0
"312" "插旗攻城市" 1 0 0 0 0 0
"313" "我的蛋男情人" 7 0 0 0 7 0
"314" "S風暴" 0 0 0 0 0 0
"315" "報告班長7" 1 0 0 0 2 0
"316" "納粹龐克" 1 0 0 0 0 0
"317" "代號: 鐵鉻行動" 1 0 0 0 0 0
"318" "非普通型男" 1 0 0 0 0 0
"319" "殿下萬萬稅" 2 0 0 0 0 0
"320" "藥命真相" 0 0 0 0 1 0
"321" "明天別再來敲門" 12 0 0 0 0 0
"322" "Lady's 尖頭們" 0 0 0 0 0 0
"323" "愛與黑暗的故事" 3 0 0 0 1 0
"324" "白晝之雨" 3 0 0 0 0 0
"325" "比海還深" 20 0 0 0 0 0
"326" "吸血鬼腥靈診療" 0 0 0 0 0 0
"327" "最後一次自由" 0 0 0 0 0 0
"328" "NY單身日記" 3 0 0 0 0 0
"329" "性愛巴弒" 0 0 0 0 0 0
"330" "超自然研究會" 0 0 0 0 0 0
"331" "遊戲王:次元的黑暗面" 0 0 0 0 0 0
"332" "時空叛逃者" 2 0 0 0 0 0
"333" "大藝術家與我" 0 0 0 0 0 0
"334" "天才柏金斯" 4 0 0 0 0 0
"335" "甜蜜的哀傷" 1 0 0 0 0 0
"336" "植物圖鑑" 0 0 0 0 1 0
"337" "送子鳥" 5 0 0 0 0 0
"338" "會計師" 44 0 0 0 7 0
"339" "神隱任務2" 1 0 0 0 4 0
"340" "奇異博士" 68 0 0 0 10 0
"341" "怒火地平線" 11 0 0 0 0 0
"342" "地獄" 35 0 0 0 10 0
"343" "碟仙2" 0 0 0 0 0 0
"344" "獵愛大臨演" 0 0 0 0 0 0
"345" "湄公河行動" 1 0 0 0 3 0
"346" "時尚帝國合約的開始" 0 0 0 0 0 0
"347" "起源:首爾車站" 0 0 0 0 0 0
"348" "鬼才要畢業" 0 0 0 0 0 0
"349" "為妳說的謊" 6 0 0 0 2 0
"350" "巴黎走音天后" 5 0 0 0 0 0
"351" "你的名字" 198 0 0 0 31 0
"352" "愛是一隻貓" 1 0 0 0 0 0
"353" "絕地7騎士" 5 0 0 0 0 0
"354" "神廚東京壯遊記" 4 0 0 0 0 0
"355" "鬼開門" 0 0 0 0 1 0
"356" "幸運是我" 1 0 0 0 0 0
"357" "列車上的女孩" 3 0 0 0 0 0
"358" "完美陌生人" 14 0 0 0 0 0
"359" "德布西森林" 3 0 0 0 2 0
"360" "我的型男老闆" 1 0 0 0 0 0
"361" "重返心原點" 1 0 0 0 0 0
"362" "怒" 33 0 0 0 5 0
"363" "美國心風暴" 1 0 0 0 0 0
"364" "已經很想妳" 3 0 0 0 0 0
"365" "笨賊樂盜家" 0 0 0 0 0 0
