,movieTitle,englishName,rating
283,霓虹惡魔,The Neon Demon,6.3
284,蠟筆小新: 爆睡!,Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault,0
285,丹麥共居生活,The Commune,6.6
286,醉後之旅,Saint Amour,6.3
287,進擊的摔角男孩,Young Wrestlers,6.8
288,電影版櫻桃小丸子,CHIBI MARUKO CHAN: a boy from Italy,0
289,哭聲,The Wailing ,0
290,大審判家,The People vs. Fritz Bauer,7.2
291,暴亂夜,'71,7.2
292,從好久以前就喜歡你,I!|ve always liked you -Confess Your Love Committee-Part 1,0
293,零日網路戰,Zero Days,7.8
294,聽見愛你的聲音,Loev,6.6
295,地獄哪有那麼HIGH,Too Young to Die ,0
296,十年,Ten Years,7.3
297,我出去一下,I'm Off Then,6.2
298,如果這世界貓消失了,If Cats Disappeared from the World,7.4
299,瘋狂邁爾士,Miles Ahead,6.5
300,推銷員之戀,Hedi,7.1
301,變蟲人,Bite,4.9
302,攻佔羅浮宮,Francofonia,6.6
303,愛情天文學,Correspondence,5.9
304,賞金獵人,Bounty Hunters,3.8
305,我的老爸喵星人,Nine Lives  ,0
306,婚禮玩很大,Mike and Dave Need Wedding Dates,6
307,BJ有喜,Bridget Jone's Baby,0
308,神鬼駭客:史諾登,Snowden,7.4
309,怪奇孤兒院,Miss Peregrine's Home for Peculiar Children,7
310,蘇珊夫人尋婚計,Love & Friendship,6.6
311,玩命直播,Nerve,6.7
312,終極飆靶,Precious Cargo,4.6
313,赴湯蹈火,Hell Or High Water,0
314,暫時停止呼吸,Don't Breathe,7.2
315,屍速列車,,0
316,薩利機長,Sully,7.7
317,使徒行者,Line Walker,6.1
318,終極舞班,Battle Of<U+00A0>Hip Hopera,0
319,特厲鬼屋,Abattoir,4.5
320,魔詭,Morgan,5.8
321,鬼打牆,Take me home,0
322,插旗攻城市,Where to Invade Next,7.6
323,我的蛋男情人,My Egg Boy ,0
324,S風暴,S Storm ,0
325,報告班長7,No Sir,0
326,納粹龐克,Green Room,7.1
327,代號: 鐵鉻行動,Operation Chromite ,0
328,非普通型男,Chevalier,6.6
329,殿下萬萬稅,The Magnificent Nine,6.6
330,藥命真相,Misconduct,5.3
331,明天別再來敲門,A Man Called Ove,7.6
332,Lady's 尖頭們,Free the Nipple ,0
333,愛與黑暗的故事,A Tale of Love and Darkness  ,0
334,白晝之雨,Himeanole,7.6
335,比海還深,After the Storm,7.8
336,吸血鬼腥靈診療,Therapy for a Vampire,6.4
337,最後一次自由,Desierto,5.8
338,NY單身日記,Maggie's Plan,6.3
339,性愛巴弒,Deeper,0
340,超自然研究會,Haunted Campus,NA
341,遊戲王:,Yu-Gi-Oh!: The Dark Side of Dimensions ,0
342,次元的黑暗面,Yu-Gi-Oh!: The Dark Side of Dimensions ,0
343,時空叛逃者,Time Renegades,0
344,大藝術家與我,Me and Kaminski,6.9
345,天才柏金斯,Genius,6.6
346,甜蜜的哀傷,Bitter Honey,6
347,植物圖鑑,Evergreen Love,0
348,送子鳥,Storks,7
349,會計師,The Accountant ,0
350,神隱任務2,Jack Reacher 2: Never Go Back ,0
351,奇異博士,Doctor Strange,7.9
352,怒火,Deepwater Horizon ,0
353,地平線,Deepwater Horizon ,0
354,地獄,Inferno,6.3
355,碟仙2,Ouija 2,0
356,獵愛大臨演,The Together Project,0
357,湄公河行動,Operation Mekong,7
358,時尚帝國合約的開始,The Model,5.8
359,起源:首爾車站,Seoul Station,6
360,鬼才要畢業,Midnight at University ,0
361,為妳說的謊,The Light Between Oceans,7.2
362,巴黎走音天后,Marguerite,7
363,你的名字,Your Name,8.9
364,愛是一隻貓,Tomcat,5.3
365,絕地7騎士,The Magnificent Seven,7.8
366,神廚東京壯遊記,Ants On a Shrimp,0
367,鬼開門,The Disappointments Room,4.1
368,幸運是我,Happiness,7.8
369,列車上的女孩,The Girl on the Train ,0
370,完美陌生人,Perfect Strangers,7.7
371,德布西森林,Foret Debussy,7.3
372,我的型男老闆,Do You See Me?,6.5
373,重返心原點,The Hollars,6.4
374,怒,Rage,5
375,美國心風暴,American Pastoral,6.2
376,已經很想妳,Miss You Already,6.7
377,笨賊樂盜家,Masterminds,5.7
