movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
NY單身日記,Maggie's Plan,6.3,9,3,0
性愛巴弒,Deeper,0,1,0,0
超自然研究會,Haunted Campus,NA,2,0,0
遊戲王:次元的黑暗面,Yu-Gi-Oh!: The Dark Side of Dimensions,8.3,1,0,0
時空叛逃者,Time Renegades,0,6,2,0
大藝術家與我,Me and Kaminski,6.9,1,0,0
天才柏金斯,Genius,6.6,9,4,0
甜蜜的哀傷,Bitter Honey,6,1,1,0
植物圖鑑,Evergreen Love,0,2,0,2
送子鳥,Storks,7,13,5,0
會計師,The Accountant,7.6,134,44,14
神隱任務2,Jack Reacher 2: Never Go Back,0,15,1,8
奇異博士,Doctor Strange,7.9,274,68,20
怒火地平線,Deepwater Horizon,7.5,39,11,0
地獄,Inferno,6.3,126,35,20
碟仙2,Ouija 2,0,1,0,0
獵愛大臨演,The Together Project,0,0,0,0
湄公河行動,Operation Mekong,7,11,1,6
時尚帝國合約的開始,The Model,5.8,2,0,0
起源:首爾車站,Seoul Station,6,1,0,0
鬼才要畢業,Midnight at University,0,4,0,0
為妳說的謊,The Light Between Oceans,7.2,14,6,4
巴黎走音天后,Marguerite,7,14,5,0
你的名字,Your Name,8.9,633,198,62
愛是一隻貓,Tomcat,5.3,3,1,0
絕地7騎士,The Magnificent Seven,7.8,19,5,0
神廚東京壯遊記,Ants On a Shrimp,0,6,4,0
鬼開門,The Disappointments Room,4.1,4,0,2
幸運是我,Happiness,7.8,5,1,0
列車上的女孩,The Girl on the Train,6.7,14,3,0
完美陌生人,Perfect Strangers,7.7,22,14,0
德布西森林,Foret Debussy,7.3,14,3,4
我的型男老闆,Do You See Me?,6.5,8,1,0
重返心原點,The Hollars,6.4,6,1,0
怒,Rage,5,180,33,10
美國心風暴,American Pastoral,6.2,5,1,0
已經很想妳,Miss You Already,6.7,4,3,0
笨賊樂盜家,Masterminds,5.7,3,0,0
