movieTitle	englishName
從好久以前就喜歡你	I!|ve always liked you -Confess Your Love Committee-Part 1
零日網路戰	Zero Days
聽見愛你的聲音	Loev
地獄哪有那麼HIGH	Too Young to Die
十年	Ten Years
我出去一下	I'm Off Then
如果這世界貓消失了	If Cats Disappeared from the World
瘋狂邁爾士	Miles Ahead
推銷員之戀	Hedi
變蟲人	Bite
攻佔羅浮宮	Francofonia
愛情天文學	Correspondence
賞金獵人	Bounty Hunters
我的老爸喵星人	Nine Lives
婚禮玩很大	Mike and Dave Need Wedding Dates
BJ有喜	Bridget Jone's Baby
神鬼駭客:史諾登	Snowden
怪奇孤兒院	Miss Peregrine's Home for Peculiar Children
蘇珊夫人尋婚計	Love & Friendship
玩命直播	Nerve
終極飆靶	Precious Cargo
赴湯蹈火	Hell Or High Water
暫時停止呼吸	Don't Breathe
屍速列車	
薩利機長	Sully
使徒行者	Line Walker
終極舞班	Battle Of<U+00A0>Hip Hopera
特厲鬼屋	Abattoir
魔詭	Morgan
鬼打牆	Take me home
插旗攻城市	Where to Invade Next
我的蛋男情人	My Egg Boy
S風暴	S Storm
報告班長7	No Sir
納粹龐克	Green Room
代號: 鐵鉻行動	Operation Chromite
非普通型男	Chevalier
殿下萬萬稅	The Magnificent Nine
藥命真相	Misconduct
明天別再來敲門	A Man Called Ove
Lady's 尖頭們	Free the Nipple
愛與黑暗的故事	A Tale of Love and Darkness
白晝之雨	Himeanole
比海還深	After the Storm
吸血鬼腥靈診療	Therapy for a Vampire
最後一次自由	Desierto
NY單身日記	Maggie's Plan
性愛巴弒	Deeper
超自然研究會	Haunted Campus
遊戲王:次元的黑暗面	Yu-Gi-Oh!: The Dark Side of Dimensions
時空叛逃者	Time Renegades
大藝術家與我	Me and Kaminski
天才柏金斯	Genius
甜蜜的哀傷	Bitter Honey
植物圖鑑	Evergreen Love
送子鳥	Storks
會計師	The Accountant
神隱任務2	Jack Reacher 2: Never Go Back
奇異博士	Doctor Strange
怒火地平線	Deepwater Horizon
地獄	Inferno
碟仙2	Ouija 2
獵愛大臨演	The Together Project
湄公河行動	Operation Mekong
時尚帝國合約的開始	The Model
起源:首爾車站	Seoul Station
鬼才要畢業	Midnight at University
為妳說的謊	The Light Between Oceans
巴黎走音天后	Marguerite
你的名字	Your Name
愛是一隻貓	Tomcat
絕地7騎士	The Magnificent Seven
神廚東京壯遊記	Ants On a Shrimp
鬼開門	The Disappointments Room
幸運是我	Happiness
列車上的女孩	The Girl on the Train
完美陌生人	Perfect Strangers
德布西森林	Foret Debussy
我的型男老闆	Do You See Me?
重返心原點	The Hollars
怒	Rage
美國心風暴	American Pastoral
已經很想妳	Miss You Already
笨賊樂盜家	Masterminds
羅良瑋	
劉育瑄	
沈品耀	
王曉嵐	
何青儒	
